"";"2021-01-22"
"1";"D53513"
"2";"D53546"
"3";"D53588"
"4";"D53589"
"5";"D53590"
"6";"D53605"
"7";"D53622"
"8";"D53644"
"9";"D53645"
"10";"D53691"
"11";"A63527"
"12";"B63028"
"13";"B28709"
"14";"B28729"
"15";"B51526"
"16";"B51547"
"17";"B25501"
"18";"B25508"
"19";"B25531"
"20";"B25545"
"21";"B25803"
"22";"A71509"
"23";"A71623"
"24";"B31028"
"25";"B31086"
"26";"B31125"
"27";"C47854"
"28";"A27636"
"29";"B10508"
"30";"B10544"
"31";"B10561"
"32";"A29016"
"33";"A29107"
"34";"A29150"
"35";"A29155"
"36";"B42644"
"37";"C42637"
"38";"D53505"
"39";"D53507"
"40";"D53508"
"41";"D53525"
"42";"D53537"
"43";"D53557"
"44";"D53562"
"45";"D53563"
"46";"D53565"
"47";"D53572"
"48";"D53580"
"49";"D53582"
"50";"D53613"
"51";"D53614"
"52";"D53619"
"53";"D53627"
"54";"D53678"
"55";"D53680"
"56";"D53745"
"57";"D53746"
"58";"D53749"
"59";"D53753"
"60";"B63031"
"61";"B27003"
"62";"B27100"
"63";"B27190"
"64";"C27072"
"65";"C27115"
"66";"C27186"
"67";"D86008"
"68";"D86018"
"69";"D86071"
"70";"D86080"
"71";"D86121"
"72";"D86123"
"73";"D86152"
"74";"D86167"
"75";"D86181"
"76";"D86217"
"77";"D86278"
"78";"D86405"
"79";"D86409"
"80";"D86709"
"81";"B28513"
"82";"B28516"
"83";"B28539"
"84";"B28553"
"85";"B28562"
"86";"B28619"
"87";"B58160"
"88";"B51587"
"89";"D17035"
"90";"D17045"
"91";"D17078"
"92";"D17085"
"93";"D17092"
"94";"D17104"
"95";"D17106"
"96";"D17107"
"97";"D17118"
"98";"D87019"
"99";"D87023"
"100";"D87031"
"101";"D87076"
"102";"D87080"
"103";"D87084"
"104";"D87320"
"105";"D87362"
"106";"D87703"
"107";"D87858"
"108";"B32502"
"109";"B32509"
"110";"B32539"
"111";"B32544"
"112";"B32555"
"113";"B32580"
"114";"B32584"
"115";"B32586"
"116";"B32603"
"117";"B32657"
"118";"B32696"
"119";"B32699"
"120";"B32732"
"121";"B32779"
"122";"B32785"
"123";"C12028"
"124";"C12047"
"125";"C41891"
"126";"D12170"
"127";"D12174"
"128";"B44565"
"129";"B44572"
"130";"B44626"
"131";"B44651"
"132";"B44670"
"133";"C44517"
"134";"C44526"
"135";"C44549"
"136";"C44550"
"137";"C44573"
"138";"C44574"
"139";"C44624"
"140";"C44681"
"141";"B31122"
"142";"B31155"
"143";"13020"
"144";"13383"
"145";"13391"
"146";"13500"
"147";"13501"
"148";"A47462"
"149";"A47485"
"150";"A47636"
"151";"C13001"
"152";"C13002"
"153";"C13003"
"154";"C13004"
"155";"C13007"
"156";"C13011"
"157";"C13012"
"158";"C13016"
"159";"C13040"
"160";"C13042"
"161";"C13046"
"162";"C13051"
"163";"C13053"
"164";"C13055"
"165";"C13061"
"166";"C13067"
"167";"C13068"
"168";"C13083"
"169";"C13100"
"170";"C13108"
"171";"C13115"
"172";"C13127"
"173";"C13139"
"174";"C13159"
"175";"C13161"
"176";"C30011"
"177";"C30025"
"178";"C30031"
"179";"C30037"
"180";"C30054"
"181";"C30060"
"182";"C30063"
"183";"C30077"
"184";"C30095"
"185";"C30139"
"186";"C30146"
"187";"C30160"
"188";"C30162"
"189";"C30168"
"190";"C30191"
"191";"C30214"
"192";"C30226"
"193";"C30231"
"194";"C30247"
"195";"C30250"
"196";"C30260"
"197";"C30262"
"198";"C30278"
"199";"C30280"
"200";"C30288"
"201";"C30320"
"202";"C30324"
"203";"C47464"
"204";"C47479"
"205";"C47481"
"206";"C47484"
"207";"C47500"
"208";"C47503"
"209";"C47507"
"210";"C47510"
"211";"C47511"
"212";"C47522"
"213";"C47536"
"214";"C47538"
"215";"C47540"
"216";"C47546"
"217";"C47560"
"218";"C47566"
"219";"C47568"
"220";"C47597"
"221";"C47606"
"222";"C47608"
"223";"C47614"
"224";"C47615"
"225";"C47621"
"226";"C47646"
"227";"C47648"
"228";"C47651"
"229";"C47666"
"230";"C47686"
"231";"C47695"
"232";"C47696"
"233";"C47702"
"234";"C47704"
"235";"C47713"
"236";"C47722"
"237";"C47730"
"238";"C47733"
"239";"C47735"
"240";"C47749"
"241";"C47761"
"242";"C47773"
"243";"C47810"
"244";"C47822"
"245";"C47842"
"246";"C47850"
"247";"C47851"
"248";"C47859"
"249";"C47872"
"250";"C47883"
"251";"C47900"
"252";"C47942"
"253";"C47958"
"254";"C47964"
"255";"C47995"
"256";"D13019"
"257";"D13021"
"258";"D13069"
"259";"D13078"
"260";"D13092"
"261";"D13107"
"262";"D13118"
"263";"D13119"
"264";"D13169"
"265";"D13174"
"266";"D13178"
"267";"D13193"
"268";"D13197"
"269";"D13213"
"270";"D13232"
"271";"D13251"
"272";"D13261"
"273";"D13269"
"274";"D13274"
"275";"D13297"
"276";"D13305"
"277";"D13313"
"278";"D13319"
"279";"D13329"
"280";"D13333"
"281";"D13336"
"282";"D13337"
"283";"D13338"
"284";"D13347"
"285";"D13348"
"286";"D13365"
"287";"D13371"
"288";"D13376"
"289";"D13387"
"290";"D13395"
"291";"D13397"
"292";"D13398"
"293";"D13503"
"294";"D13504"
"295";"A27565"
"296";"A27642"
"297";"A27651"
"298";"D53617"
"299";"B28506"
"300";"B31103"
"301";"C13031"
"302";"C30355"
"303";"C47738"
"304";"C47745"
"305";"C47840"
"306";"C47869"
"307";"B11577"
"308";"A29064"
"309";"B42645"
"310";"C42598"
"311";"B44659"
"312";"B31003"
"313";"B31009"
"314";"B31014"
"315";"C13128"
"316";"C47483"
"317";"C47598"
"318";"C47600"
"319";"C47769"
"320";"C47861"
"321";"C47889"
"322";"B11539"
"323";"A29094"
"324";"B42531"
"325";"B27008"
"326";"B32758"
"327";"C13103"
"328";"C30213"
"329";"C47802"
"330";"D13187"
"331";"B11531"
"332";"B28504"
"333";"B28599"
"334";"B51630"
"335";"B25562"
"336";"B31091"
"337";"C30181"
"338";"D13025"
"339";"D13258"
"340";"B42529"
"341";"C47741"
"342";"C47800"
"343";"D13085"
"344";"D13154"
"345";"D13186"
"346";"D13215"
"347";"B51573"
"348";"B31024"
"349";"B31043"
"350";"C13145"
"351";"C30071"
"352";"C47791"
"353";"D13288"
"354";"B27014"
"355";"D13208"
"356";"A27660"
"357";"C42508"
"358";"C30229"
"359";"C47623"
"360";"C47813"
"361";"D13015"
"362";"B25574"
"363";"C13039"
"364";"C30022"
"365";"C30057"
"366";"B11548"
"367";"A29168"
"368";"C30289"
"369";"C30295"
"370";"C30301"
"371";"B11550"
"372";"B25605"
"373";"D12103"
"374";"C13152"
"375";"B42632"
"376";"B32519"
"377";"B32812"
"378";"C47584"
"379";"B11530"
"380";"B32530"
"381";"C30271"
"382";"C30257"
"383";"C47747"
"384";"B32825"
"385";"B32811"
"386";"C12040"
"387";"B44695"
"388";"C30261"
"389";"C30137"
"390";"C30259"
"391";"B28542"
"392";"B32628"
"393";"C47790"
"394";"B11537"
"395";"D53673"
"396";"C47803"
"397";"C47572"
"398";"D53597"
"399";"D53536"
"400";"B28555"
"401";"B28615"
"402";"C44615"
"403";"C30307"
"404";"B11533"
"405";"A29017"
"406";"C27112"
"407";"C27195"
"408";"B58113"
"409";"B25539"
"410";"B25569"
"411";"B32600"
"412";"B32618"
"413";"A41073"
"414";"A41215"
"415";"A41441"
"416";"C41155"
"417";"C41364"
"418";"C13048"
"419";"C30001"
"420";"C30102"
"421";"C30352"
"422";"C47531"
"423";"D13089"
"424";"D13153"
"425";"D13239"
"426";"D13250"
"427";"B11609"
"428";"C27041"
"429";"B32599"
"430";"B32799"
"431";"B32813"
"432";"C12022"
"433";"B31162"
"434";"D13102"
"435";"D13146"
"436";"D13219"
"437";"B11621"
"438";"D53521"
"439";"D86792"
"440";"B28556"
"441";"B32547"
"442";"B32753"
"443";"B32789"
"444";"C12030"
"445";"A41150"
"446";"A41437"
"447";"C41161"
"448";"C41355"
"449";"C41374"
"450";"D13182"
"451";"D13262"
"452";"B28583"
"453";"B28743"
"454";"D17048"
"455";"B32637"
"456";"B32751"
"457";"B32791"
"458";"C12031"
"459";"C12046"
"460";"D12141"
"461";"B31001"
"462";"C47463"
"463";"C47748"
"464";"D13122"
"465";"D13267"
"466";"D13296"
"467";"D13384"
"468";"D53716"
"469";"D86200"
"470";"D86398"
"471";"B32560"
"472";"B32564"
"473";"B32727"
"474";"B32752"
"475";"C12045"
"476";"D12156"
"477";"D12157"
"478";"A41291"
"479";"C13045"
"480";"C47467"
"481";"C47634"
"482";"D13318"
"483";"D13339"
"484";"D13373"
"485";"B11618"
"486";"B42608"
"487";"D53579"
"488";"D53646"
"489";"B32538"
"490";"D12168"
"491";"A41047"
"492";"A41322"
"493";"A41440"
"494";"C41054"
"495";"C41332"
"496";"C41349"
"497";"C13135"
"498";"C47654"
"499";"C47841"
"500";"D13034"
"501";"D13199"
"502";"D13332"
"503";"B27137"
"504";"B28607"
"505";"B32655"
"506";"D12107"
"507";"B31137"
"508";"A41289"
"509";"C47676"
"510";"C47737"
"511";"D13104"
"512";"D13181"
"513";"A27544"
"514";"B11516"
"515";"D53618"
"516";"D53720"
"517";"B27065"
"518";"D86146"
"519";"B28508"
"520";"B28541"
"521";"B25523"
"522";"B32516"
"523";"B32706"
"524";"B32807"
"525";"A41186"
"526";"C41339"
"527";"C13093"
"528";"C30212"
"529";"C47563"
"530";"C47601"
"531";"C47886"
"532";"D13088"
"533";"D13191"
"534";"D13214"
"535";"D13229"
"536";"D13270"
"537";"D13282"
"538";"D13311"
"539";"B11505"
"540";"B11511"
"541";"B11579"
"542";"B11674"
"543";"D53653"
