"DataCompleta";"Data";"Hora";"Total";"Intersul";"Internorte";"Transcarioca";"SantaCruz";"BRT"
"2018-02-01 00:00:00";"01/02/2018";"00:00";"984";"124";"329";"268";"263";"0"
"2018-02-01 00:05:00";"01/02/2018";"00:05";"2";"0";"0";"1";"1";"0"
"2018-02-01 00:10:00";"01/02/2018";"00:10";"2";"0";"0";"2";"0";"0"
"2018-02-01 00:15:00";"01/02/2018";"00:15";"3";"0";"1";"1";"1";"0"
"2018-02-01 00:20:00";"01/02/2018";"00:20";"1";"0";"1";"0";"0";"0"
"2018-02-01 00:25:00";"01/02/2018";"00:25";"2";"0";"0";"2";"0";"0"
"2018-02-01 00:30:00";"01/02/2018";"00:30";"";"";"";"";"";""
"2018-02-01 00:35:00";"01/02/2018";"00:35";"2";"0";"2";"0";"0";"0"
"2018-02-01 00:40:00";"01/02/2018";"00:40";"2";"0";"0";"2";"0";"0"
"2018-02-01 00:45:00";"01/02/2018";"00:45";"1";"0";"1";"0";"0";"0"
"2018-02-01 00:50:00";"01/02/2018";"00:50";"";"";"";"";"";""
"2018-02-01 00:55:00";"01/02/2018";"00:55";"4";"0";"3";"1";"0";"0"
"2018-02-01 01:00:00";"01/02/2018";"01:00";"1";"0";"1";"0";"0";"0"
"2018-02-01 01:05:00";"01/02/2018";"01:05";"2";"0";"0";"2";"0";"0"
"2018-02-01 01:10:00";"01/02/2018";"01:10";"1";"0";"0";"1";"0";"0"
"2018-02-01 01:15:00";"01/02/2018";"01:15";"";"";"";"";"";""
"2018-02-01 01:20:00";"01/02/2018";"01:20";"";"";"";"";"";""
"2018-02-01 01:25:00";"01/02/2018";"01:25";"1";"0";"0";"1";"0";"0"
"2018-02-01 01:30:00";"01/02/2018";"01:30";"2";"0";"2";"0";"0";"0"
"2018-02-01 01:35:00";"01/02/2018";"01:35";"2";"0";"0";"1";"1";"0"
"2018-02-01 01:40:00";"01/02/2018";"01:40";"2";"0";"1";"1";"0";"0"
"2018-02-01 01:45:00";"01/02/2018";"01:45";"2";"0";"1";"0";"1";"0"
"2018-02-01 01:50:00";"01/02/2018";"01:50";"1";"0";"1";"0";"0";"0"
"2018-02-01 01:55:00";"01/02/2018";"01:55";"1";"0";"1";"0";"0";"0"
"2018-02-01 02:00:00";"01/02/2018";"02:00";"1";"0";"0";"1";"0";"0"
"2018-02-01 02:05:00";"01/02/2018";"02:05";"3";"0";"0";"2";"1";"0"
"2018-02-01 02:10:00";"01/02/2018";"02:10";"2";"0";"1";"1";"0";"0"
"2018-02-01 02:15:00";"01/02/2018";"02:15";"";"";"";"";"";""
"2018-02-01 02:20:00";"01/02/2018";"02:20";"";"";"";"";"";""
"2018-02-01 02:25:00";"01/02/2018";"02:25";"3";"0";"0";"1";"2";"0"
"2018-02-01 02:30:00";"01/02/2018";"02:30";"7";"0";"2";"3";"2";"0"
"2018-02-01 02:35:00";"01/02/2018";"02:35";"36";"5";"24";"5";"2";"0"
"2018-02-01 02:40:00";"01/02/2018";"02:40";"46";"9";"27";"9";"1";"0"
"2018-02-01 02:45:00";"01/02/2018";"02:45";"51";"9";"16";"23";"3";"0"
"2018-02-01 02:50:00";"01/02/2018";"02:50";"39";"7";"14";"17";"1";"0"
"2018-02-01 02:55:00";"01/02/2018";"02:55";"41";"9";"16";"14";"2";"0"
"2018-02-01 03:00:00";"01/02/2018";"03:00";"257";"31";"82";"93";"51";"0"
"2018-02-01 03:05:00";"01/02/2018";"03:05";"278";"36";"94";"88";"60";"0"
"2018-02-01 03:10:00";"01/02/2018";"03:10";"298";"48";"98";"88";"64";"0"
"2018-02-01 03:15:00";"01/02/2018";"03:15";"300";"43";"93";"98";"66";"0"
"2018-02-01 03:20:00";"01/02/2018";"03:20";"292";"35";"88";"95";"74";"0"
"2018-02-01 03:25:00";"01/02/2018";"03:25";"315";"46";"89";"101";"79";"0"
"2018-02-01 03:30:00";"01/02/2018";"03:30";"345";"45";"101";"107";"92";"0"
"2018-02-01 03:35:00";"01/02/2018";"03:35";"379";"53";"109";"103";"114";"0"
"2018-02-01 03:40:00";"01/02/2018";"03:40";"413";"55";"114";"117";"127";"0"
"2018-02-01 03:45:00";"01/02/2018";"03:45";"443";"61";"118";"124";"140";"0"
